Device: cuda
Chargement du jeu de données...
Loading backbone classifier: ast
  Loaded weights from outputs/cagedronerf_ast_multiclass/models/best_model.pt
Extraction des embeddings...
  Embedding dim: 192, Train: 3243, Val: 698, Test: 699
GNN parameters: 218,907
LR=1.00e-03, warmup=5, weight_decay=0.0001, grad_clip=1.0, label_smoothing=0.05, ema_decay=0.999
Epoch   1/30 | Train 2.0744 | Val Loss 3.1744 | Val Acc 0.0770 | Val F1 0.0484 | MCC 0.0603
Epoch   2/30 | Train 0.4710 | Val Loss 2.7361 | Val Acc 0.4808 | Val F1 0.4570 | MCC 0.4865
Epoch   3/30 | Train 0.3935 | Val Loss 2.1506 | Val Acc 0.9491 | Val F1 0.9346 | MCC 0.9476
Epoch   4/30 | Train 0.3834 | Val Loss 1.5314 | Val Acc 0.9927 | Val F1 0.9944 | MCC 0.9924
Epoch   5/30 | Train 0.3792 | Val Loss 0.9893 | Val Acc 0.9933 | Val F1 0.9950 | MCC 0.9930
Epoch   6/30 | Train 0.3770 | Val Loss 0.6021 | Val Acc 0.9938 | Val F1 0.9953 | MCC 0.9935
Epoch   7/30 | Train 0.3745 | Val Loss 0.3655 | Val Acc 0.9941 | Val F1 0.9956 | MCC 0.9938
Epoch   8/30 | Train 0.3731 | Val Loss 0.2335 | Val Acc 0.9941 | Val F1 0.9956 | MCC 0.9938
Epoch   9/30 | Train 0.3723 | Val Loss 0.1610 | Val Acc 0.9941 | Val F1 0.9956 | MCC 0.9938
Epoch  10/30 | Train 0.3709 | Val Loss 0.1203 | Val Acc 0.9941 | Val F1 0.9956 | MCC 0.9938
Epoch  11/30 | Train 0.3707 | Val Loss 0.0961 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  12/30 | Train 0.3704 | Val Loss 0.0811 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  13/30 | Train 0.3695 | Val Loss 0.0714 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  14/30 | Train 0.3689 | Val Loss 0.0648 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  15/30 | Train 0.3684 | Val Loss 0.0600 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  16/30 | Train 0.3682 | Val Loss 0.0566 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  17/30 | Train 0.3681 | Val Loss 0.0540 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  18/30 | Train 0.3676 | Val Loss 0.0520 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  19/30 | Train 0.3672 | Val Loss 0.0503 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  20/30 | Train 0.3669 | Val Loss 0.0490 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  21/30 | Train 0.3669 | Val Loss 0.0480 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  22/30 | Train 0.3667 | Val Loss 0.0472 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  23/30 | Train 0.3667 | Val Loss 0.0466 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  24/30 | Train 0.3665 | Val Loss 0.0461 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  25/30 | Train 0.3663 | Val Loss 0.0457 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  26/30 | Train 0.3663 | Val Loss 0.0453 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  27/30 | Train 0.3663 | Val Loss 0.0450 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  28/30 | Train 0.3663 | Val Loss 0.0447 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  29/30 | Train 0.3663 | Val Loss 0.0445 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937
Epoch  30/30 | Train 0.3663 | Val Loss 0.0443 | Val Acc 0.9939 | Val F1 0.9954 | MCC 0.9937

Test: Accuracy: 0.9916 | Macro-F1: 0.9932 | MCC: 0.9912

Results saved to outputs\gnn_cagedronerf_multiclass/
