Device: cuda
Chargement du jeu de données...
Loading backbone classifier: ast
  Loaded weights from outputs/rfuav_ast_multiclass/models/best_model.pt
Extraction des embeddings...
  Embedding dim: 192, Train: 4543, Val: 1136, Test: 1136
GNN parameters: 220,197
LR=1.00e-03, warmup=5, weight_decay=0.0001, grad_clip=1.0, label_smoothing=0.05, ema_decay=0.999
Epoch   1/30 | Train 2.4000 | Val Loss 3.5034 | Val Acc 0.0969 | Val F1 0.0507 | MCC 0.0780
Epoch   2/30 | Train 0.6097 | Val Loss 3.0656 | Val Acc 0.5294 | Val F1 0.3518 | MCC 0.5279
Epoch   3/30 | Train 0.4255 | Val Loss 2.4777 | Val Acc 0.8562 | Val F1 0.7752 | MCC 0.8522
Epoch   4/30 | Train 0.4121 | Val Loss 1.8515 | Val Acc 0.9369 | Val F1 0.9113 | MCC 0.9344
Epoch   5/30 | Train 0.4068 | Val Loss 1.2833 | Val Acc 0.9558 | Val F1 0.9459 | MCC 0.9540
Epoch   6/30 | Train 0.4038 | Val Loss 0.8485 | Val Acc 0.9595 | Val F1 0.9509 | MCC 0.9579
Epoch   7/30 | Train 0.4003 | Val Loss 0.5682 | Val Acc 0.9597 | Val F1 0.9515 | MCC 0.9581
Epoch   8/30 | Train 0.3979 | Val Loss 0.4089 | Val Acc 0.9587 | Val F1 0.9506 | MCC 0.9571
Epoch   9/30 | Train 0.3973 | Val Loss 0.3227 | Val Acc 0.9587 | Val F1 0.9507 | MCC 0.9571
Epoch  10/30 | Train 0.3955 | Val Loss 0.2776 | Val Acc 0.9583 | Val F1 0.9499 | MCC 0.9566
Epoch  11/30 | Train 0.3954 | Val Loss 0.2529 | Val Acc 0.9580 | Val F1 0.9496 | MCC 0.9563
Epoch  12/30 | Train 0.3935 | Val Loss 0.2394 | Val Acc 0.9573 | Val F1 0.9488 | MCC 0.9556
Epoch  13/30 | Train 0.3929 | Val Loss 0.2321 | Val Acc 0.9573 | Val F1 0.9489 | MCC 0.9556
Epoch  14/30 | Train 0.3928 | Val Loss 0.2279 | Val Acc 0.9575 | Val F1 0.9490 | MCC 0.9558
Epoch  15/30 | Train 0.3921 | Val Loss 0.2259 | Val Acc 0.9575 | Val F1 0.9490 | MCC 0.9558
Epoch  16/30 | Train 0.3914 | Val Loss 0.2248 | Val Acc 0.9577 | Val F1 0.9493 | MCC 0.9560
Epoch  17/30 | Train 0.3912 | Val Loss 0.2243 | Val Acc 0.9577 | Val F1 0.9493 | MCC 0.9560
Epoch  18/30 | Train 0.3904 | Val Loss 0.2243 | Val Acc 0.9580 | Val F1 0.9496 | MCC 0.9563
Epoch  19/30 | Train 0.3900 | Val Loss 0.2247 | Val Acc 0.9581 | Val F1 0.9498 | MCC 0.9564
Epoch  20/30 | Train 0.3896 | Val Loss 0.2254 | Val Acc 0.9583 | Val F1 0.9499 | MCC 0.9566
Epoch  21/30 | Train 0.3893 | Val Loss 0.2263 | Val Acc 0.9587 | Val F1 0.9504 | MCC 0.9571
Epoch  22/30 | Train 0.3890 | Val Loss 0.2271 | Val Acc 0.9589 | Val F1 0.9507 | MCC 0.9573
Epoch  23/30 | Train 0.3889 | Val Loss 0.2280 | Val Acc 0.9591 | Val F1 0.9508 | MCC 0.9574
Epoch  24/30 | Train 0.3887 | Val Loss 0.2288 | Val Acc 0.9591 | Val F1 0.9508 | MCC 0.9574
Epoch  25/30 | Train 0.3885 | Val Loss 0.2295 | Val Acc 0.9589 | Val F1 0.9506 | MCC 0.9573
Epoch  26/30 | Train 0.3887 | Val Loss 0.2302 | Val Acc 0.9589 | Val F1 0.9506 | MCC 0.9573
Epoch  27/30 | Train 0.3882 | Val Loss 0.2308 | Val Acc 0.9591 | Val F1 0.9507 | MCC 0.9574
Epoch  28/30 | Train 0.3883 | Val Loss 0.2312 | Val Acc 0.9591 | Val F1 0.9507 | MCC 0.9574
Epoch  29/30 | Train 0.3885 | Val Loss 0.2317 | Val Acc 0.9591 | Val F1 0.9507 | MCC 0.9574
Epoch  30/30 | Train 0.3882 | Val Loss 0.2321 | Val Acc 0.9591 | Val F1 0.9507 | MCC 0.9574

Test: Accuracy: 0.9600 | Macro-F1: 0.9497 | MCC: 0.9584

Results saved to outputs\gnn_rfuav_multiclass/
